uLabel,h1,h2,h3,h4,h5,ax,ay,az,uL dev_yaw,uL dev_pitch,uL dev_roll,uL Timestamp,uMyo1,uM1 d1,uM1 d2,uM1 d3,uM1 d4,uM1 d5,uM1 d6,uM1 d7,uM1 ds0,uM1 ds1,uM1 ds2,uM1 ds3,uM1 ax,uM1 ay,uM1 az,uM1 dev_yaw,uM1 dev_pitch,uM1 dev_roll,uM1 Timestamp,uMyo2,uM2 d1,uM2 d2,uM2 d3,uM2 d4,uM2 d5,uM2 d6,uM2 d7,uM2 ds0,uM2 ds1,uM2 ds2,uM2 ds3,uM2 ax,uM2 ay,uM2 az,uM2 dev_yaw,uM2 dev_pitch,uM2 dev_roll,uM2 Timestamp,uMyo3,uM3 d1,uM3 d2,uM3 d3,uM3 d4,uM3 d5,uM3 d6,uM3 d7,uM3 ds0,uM3 ds1,uM3 ds2,uM3 ds3,uM3 ax,uM3 ay,uM3 az,uM3 dev_yaw,uM3 dev_pitch,uM3 dev_roll,uM3 Timestamp,uMyo4,uM4 d1,uM4 d2,uM4 d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31564,30604,28460,29004,30956,711,16374,-2697,-2519,0,-818,1709863199.2463715,0,18437,18514,18508,18453,18497,18546,18567,18548,16998,149,152,108,-5574,-14482,5100,0,0,0,1709863199.2631388,1,18385,18483,18614,18743,18722,18684,18630,18563,17752,607,195,67,379,-15189,5662,0,0,0,1709863199.2631388,2,12609,12592,12570,12562,12570,12576,12554,12535,35032,55,89,48,-3640,15421,578,0,0,0,1709863199.2631388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31608,30672,28360,29400,31008,1440,14647,-2449,-2511,0,-807,1709863199.3569934,0,18149,18133,18121,18147,18145,18138,18128,18124,14013,16,45,30,-6270,-13690,6660,0,0,0,1709863199.374526,1,18411,18391,18400,18417,18413,18398,18409,18394,16161,23,26,27,763,-15410,6079,0,0,0,1709863199.374526,2,12488,12507,12502,12497,12510,12522,12516,12477,34483,47,58,17,-2796,16296,-655,0,0,0,1709863199.374526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31536,30096,30632,29724,31016,3016,15656,-3704,-2464,0,-762,1709863199.4687529,0,17535,17568,17721,17785,17774,17742,17675,17620,10348,480,128,52,-7297,-14367,6304,0,0,0,1709863199.4841044,1,18058,18041,17998,18100,18152,18046,17923,17877,13123,342,309,103,-302,-15655,5421,0,0,0,1709863199.4841044,2,11907,11560,11697,11596,11676,12085,12544,12662,30191,2065,899,316,-4883,16222,1092,0,0,0,1709863199.4841044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31668,26748,30504,29824,31052,255,16459,-2980,-2452,0,-747,1709863199.5814352,0,17267,17223,17183,17167,17212,17301,17343,17329,6953,348,54,10,-6398,-14046,5623,0,0,0,1709863199.5977569,1,17452,17439,17492,17561,17629,17660,17633,17606,9400,446,80,70,122,-15096,5621,0,0,0,1709863199.5977569,2,12430,12453,12401,12376,12370,12379,12385,12388,33645,134,69,27,-2722,15567,131,0,0,0,1709863199.5977569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31572,29756,30520,29948,30968,397,15615,-2730,-2454,0,-748,1709863199.6915913,0,17855,17871,17886,17841,17780,17802,17841,17867,11671,160,98,16,-5113,-14563,6372,0,0,0,1709863199.7083313,1,17773,17794,17841,17907,17956,17965,17936,17870,11970,380,51,35,1826,-15685,5502,0,0,0,1709863199.7083313,2,12568,12590,12615,12634,12616,12604,12592,12603,35285,87,48,19,-4276,16410,-776,0,0,0,1709863199.7083313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30920,30584,30592,29840,30988,4255,14704,-4436,-2454,0,-742,1709863199.8037734,0,18410,18505,18541,18554,18744,18936,18931,18715,18264,964,361,145,-5641,-13640,5127,0,0,0,1709863199.8183877,1,18508,18285,18050,18016,18152,18143,18048,17908,14038,419,754,375,821,-14397,6166,0,0,0,1709863199.8183877,2,12623,12665,12684,12702,12668,12638,12693,12841,35978,114,254,176,-4122,15011,-946,0,0,0,1709863199.8183877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30356,29992,30668,29932,31076,2377,15259,-3812,-2448,0,-730,1709863199.9159374,0,18463,18449,18408,18369,18378,18413,18420,18441,16269,165,53,15,-6356,-14001,6313,0,0,0,1709863199.9324439,1,18348,18335,18319,18298,18335,18374,18360,18334,15631,94,77,19,-93,-15315,5772,0,0,0,1709863199.9324439,2,12551,12537,12527,12539,12543,12564,12577,12568,34870,90,11,12,-2440,16077,-20,0,0,0,1709863199.9324439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30556,30480,30536,29956,31036,3132,15461,-4021,-2476,0,-755,1709863200.034366,0,18121,18173,18155,18139,18134,18248,18322,18326,14546,358,226,93,-5569,-14419,6393,0,0,0,1709863200.0501564,1,18481,18502,18526,18549,18543,18550,18649,18759,17487,309,297,186,1295,-15434,5496,0,0,0,1709863200.0501564,2,12240,12567,12667,12295,11838,11786,12053,12154,32064,1527,649,63,-2896,16123,-1004,0,0,0,1709863200.0501564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31392,28628,30632,29972,31076,360,17316,-2729,-2454,0,-733,1709863200.1447587,0,17377,17584,17713,17697,17614,17524,17506,17532,9475,480,258,169,-5647,-14770,6262,0,0,0,1709863200.1600258,1,18286,18169,18135,18052,18019,18068,18070,18063,13790,369,157,187,2230,-15851,5739,0,0,0,1709863200.1600258,2,11997,11594,11883,12391,12581,12730,12876,12849,33364,2371,933,170,-2530,16788,-829,0,0,0,1709863200.1600258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31492,26544,30720,29940,31072,2027,15251,-3679,-2468,0,-743,1709863200.2510765,0,17454,17395,17343,17380,17454,17509,17563,17610,8636,470,86,85,-4815,-14506,6290,0,0,0,1709863200.265875,1,18069,18043,17974,17923,17890,17878,17892,17922,12519,356,120,72,2253,-15524,5144,0,0,0,1709863200.265875,2,12513,12523,12495,12477,12482,12497,12487,12506,34444,70,39,12,-4205,16260,-2019,0,0,0,1709863200.265875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
